family_a,family_b,spearman_rho,row_count,interpretation
GENERIC_12,RAW_REDUCED_10,0.86075886135156066,301,descriptive paired operator sensitivity
GENERIC_12,EPS_REDUCED_10,0.84131386209128478,301,descriptive paired operator sensitivity
GENERIC_12,MES_10,0.76835198732620547,301,descriptive paired operator sensitivity
GENERIC_12,ANCHORS_ONLY_2,0.13353062483076786,301,descriptive paired operator sensitivity
GENERIC_12,MORPHOLOGY_ONLY_8,0.73051578533864503,301,descriptive paired operator sensitivity
RAW_REDUCED_10,EPS_REDUCED_10,0.98335946315141176,301,descriptive paired operator sensitivity
RAW_REDUCED_10,MES_10,0.89329275389256602,301,descriptive paired operator sensitivity
RAW_REDUCED_10,ANCHORS_ONLY_2,0.14554988877818056,301,descriptive paired operator sensitivity
RAW_REDUCED_10,MORPHOLOGY_ONLY_8,0.84718159427519024,301,descriptive paired operator sensitivity
EPS_REDUCED_10,MES_10,0.89593926285633196,301,descriptive paired operator sensitivity
EPS_REDUCED_10,ANCHORS_ONLY_2,0.14699344993478364,301,descriptive paired operator sensitivity
EPS_REDUCED_10,MORPHOLOGY_ONLY_8,0.86060683425916562,301,descriptive paired operator sensitivity
MES_10,ANCHORS_ONLY_2,0.18926522571182772,301,descriptive paired operator sensitivity
MES_10,MORPHOLOGY_ONLY_8,0.94566805860563219,301,descriptive paired operator sensitivity
ANCHORS_ONLY_2,MORPHOLOGY_ONLY_8,0.042879731756912606,301,descriptive paired operator sensitivity
